YouTube,status,name,track,day,organization,photo,co-speaker,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,a keynote,Uma Mukkara,1,1,Harness,Uma Mukkara.png,,https://www.linkedin.com/in/uma-mukkara/,,@Uma_Mukkara,,Keynote,Coming soon...,Coming soon...,
,a keynote,Steve McGhee,1,1,Google,Steve McGhee.png,,https://www.linkedin.com/in/stevemcghee/,,@stevemcghee,,Keynote: Achieving DORA outcomes by building reliability capabilities into your platform,"Infrastructure breaks, but systems can persist!  We really want systems that withstand unavoidable failures.  Abstractly, we understand that.  In this talk, Steve presents concepts like spanning failure domains and using generic mitigations, as well as introducing a lab environment where teams can experiment with these directly and a community where we can discuss it all, memes and all.",,
,confirmed,Ian Eyberg,1,1,NanoVMs,Ian Eyberg.png,,https://www.linkedin.com/in/ianeyberg/,,@mikopawlikowski,,Tools and Best Practices from Running Unikernels in Prod for a Few Years,"Unikernels have been running in production for years now and that
experience has produced a set of new tools, best practices and
workflows from that
experience.

In this talk come hear about how and why your peers have been pushing
unikernels to prod and how new methods have been established. Whether
it's cloud specific monitoring, accessing GPU resources for ML
workloads or applying security policies that Linux workloads can't we'll
show you how companies, large and small, have been heavily investing in
unikernel deployment.",,
,confirmed,Thais Melo,1,1,Google,Thais Melo.png,,https://www.linkedin.com/in/thaismelo2/,,,,Talk,Coming soon...,Coming soon...,
,confirmed,Justin Garrison,1,1,Sidero Labs,Justin Garrison.png,,https://www.linkedin.com/in/justingarrison/,,,,Talk,APIs all the way down to the kernel,Bash scripts and cloud-init aren't good enough to build infrastructure in 2024. It's time to build with declarative APIs all they way down to the Linux kernel.,
,confirmed,Kyle Forster,1,1,RunWhen,Kyle Forster.png,,https://www.linkedin.com/in/kyforster/,,,,Talk,The RunWhen Authors Community: Royalties For Runbooks,"Inspired by work from hyperscale SRE teams, RunWhen is building the industry's largest open source library of troubleshooting automation.  Contributing Authors receive royalties when the company's enterprise customers use their code to automate root cause analysis and remediation.",
,confirmed,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Talk,SRE Landscape,"Come and explore the landscape of SRE as it is in 2024, with the new trends, techniques and tools on the horizon.",
