YouTube,status,name,track,day,organization,photo,co-speaker,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Riccardo Carlesso,1,1,Google,Riccardo Carlesso.png,,https://www.linkedin.com/in/riccardocarlesso/,,@RiccardoCarles2,,Keynote,Coming soon...,Coming soon...,
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote,Coming soon...,"Come and explore the landscape of SRE as it is in 2024, with the new trends, techniques and tools on the horizon.",
,mc,Alessandro Vozza,1,1,Kubespaces,Alessandro Vozza.png,,https://www.linkedin.com/in/alessandrovozza/,,@bongo,,MC of the conference,Coming soon...,Coming soon...,
,mc,Fahd Ekadioin,1,1,Google,Fahd Ekadioin.png,,https://www.linkedin.com/in/fahdekadioin/,,@fahdekadioin,,MC of the conference,Coming soon...,Coming soon...,
,talk,Sarah Gruneisen,1,1,Avagasso Coaching,Sarah Gruneisen.png,,https://www.linkedin.com/in/sgruneisen/,,@s_gruneisen,,"In the vast landscape of technology, innovation thrives on the unique blend of neurodiversity, cultural backgrounds, and generational wisdom.",Coming soon...,"In the vast landscape of technology, innovation thrives on the unique blend of neurodiversity, cultural backgrounds, and generational wisdom. This dialogue is a tapestry of strategies, stories, and empirical evidence designed to guide you in harnessing this collective power. Explore the art of empathy as a bridge across diverse thought processes, cultural nuances, and generational insights, enriching your team's creativity and problem-solving prowess. This session celebrates the richness of diversity, transforming it into the driving force of groundbreaking advancements in tech.","My core values are trust, authenticity, autonomy, reliability, empathy, and respect.  I am committed to fostering a space of understanding and authenticity. My mission is about empowering each individual to discover their unique solutions, fueled by the freedom and trust we instill in one another.

I uphold the inherent worth of each person and strive to promote genuineness in all aspects of our interactions. I am dedicated to unlocking your deepest potential, and nurturing the unseen strengths within you. I aim to guide you in identifying and pursuing your most stimulating, significant, and stretching goals, thereby kindling your intrinsic passions.

Once your inner flame is kindled, my aspiration is for its warmth to leave a lasting imprint on you and to radiate outwards, touching those in your world. My belief is that tasks are short term, existing within the confines of the present, but passion is enduring. It is passion that remains with us, shaping us, defining us, and leaving its indelible mark on the world. This is the essence of my impact: to ignite your enduring fire and allow its heat to echo into eternity.

As a Director of Engineering at Novoda and the Founder/Coach at Avagasso Coaching, I genuinely believe that transformation starts with a shift in mindset!

I started my journey in the late 90s as a software developer, and since then, I have continuously evolved my skillset:

* Giving trainings since 2002
* Adopted agile methodologies in 2003
* Embraced Scrum in 2008
* Embarked on my leadership journey in 2008
* Discovered the power of Liberating Structures in 2017
* Stepped into coaching in 2019

By creating a supportive ecosystem that integrates System, Agile, Personal Development, and Leadership Coaching, you can establish a strong foundation for success. Encourage communication and collaboration, foster a culture of continuous learning, and empower your leaders to guide their teams effectively to achieve the best possible results for your organization."
,talk,Pini Reznik,1,1,re:cinq,Pini Reznik.png,,https://www.linkedin.com/in/pinireznik/,,@pini42,,Carbon-Aware SRE: Optimizing Reliability and Sustainability,Coming soon...,"Site Reliability Engineers (SREs) already ensure system uptime and performance.  This talk expands the focus to include environmental impact. Learn how to measure, manage, and reduce the carbon footprint of your IT infrastructure.  We'll cover carbon accounting methodologies, strategies for optimizing technology and architecture, and ways to identify and avoid greenwashing.","Pini Reznik is a seasoned technology leader with extensive experience in the software industry. He is the CEO and Co-Founder of re:cinq, a pioneering Green Software Services business that empowers organizations to reduce their carbon footprint through innovative software solutions.
"
,talk,Rekha Daswani,1,1,Capgemini,Rekha Daswani.png,,https://www.linkedin.com/in/seniortalentacquisitionmanager/,,,,Coming soon...,Coming soon...,Coming soon...,
