YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Carol Cheung & Valentina Vacca,1,1,Tyk,Carol Cheung & Valentina Vacca.png,https://www.linkedin.com/in/carol-c-01111324/,https://www.linkedin.com/in/valentina-vacca-579739/,,,"Service Proxy, Service Mesh, API Gateway: How to pick what’s right for you?","In this session, you’ll learn how to choose between a service proxy, service mesh, and API gateway to optimize communication in your microservices architecture. We’ll start with the reasons behind the rise of microservices, then take a detailed look at each solution, highlighting the pros and cons of each. By the end, you’ll be equipped to select the best tool for your organisation—whether your goal is to enhance internal service security, build seamless external API access, or achieve both.",,
,confirmed,Jingkai He,1,1,HJK Technology,Jingkai He.png,https://www.linkedin.com/in/jingkai-he-52544995/,,,,Effective Observability on Kubernetes Using Grafana Alloy,"Achieving comprehensive observability in Kubernetes environments can be costly and challenging. This talk will deep dive into implementing production-grade observability pipeline on Kubernetes platform using Grafana Alloy, and demonstrate how to collect metrics, logs, traces and profiles in a cohesive and cost-effective manner.

This talk will cover:
* Understanding Grafana Alloy architecture and advantages over traditional stacks.
* How to roll out Grafana to your production Kubernetes cluster.
* Best practice on collecting and using metrics, logs, traces and profiles on Grafana.",,Jingkai He is an independent software consultant based in London.
